Var1;S2_1;S2_2;S2_3;S2_4;S2_5;S2_6;S2_7;S2_8;S2_9;S2_10;S2_11;S2_12;S2_13;S2_14;S2_15;S2_16;S2_17;S2_18;S2_19;S2_20;S2_21
"Adenine ";-0.0015141029920724;-0.0015141029920724;-0.0015141029920724;-0.0015141029920724;-0.0015141029920724;-0.0015141029920724;-0.0015141029920724;-0.0015141029920724;-0.0015141029920724;-0.0015141029920724;-0.0015141029920724;-0.0015141029920724;-0.0015141029920724;-0.0015141029920724;-0.0015141029920724;-0.0015141029920724;-0.0015141029920724;-0.0015141029920724;-0.0015141029920724;-0.0015141029920724;-0.0015141029920724
"D-Erythrose 4-phosphate";-0.00317164555530405;-0.00317164555530405;-0.00317164555530405;-0.00317164555530405;-0.00317164555530405;-0.00317164555530405;-0.00317164555530405;-0.00317164555530405;-0.00317164555530405;-0.00317164555530405;-0.00317164555530405;-0.00317164555530405;-0.00317164555530405;-0.00317164555530405;-0.00317164555530405;-0.00317164555530405;-0.00317164555530405;-0.00317164555530405;-0.00317164555530405;-0.00317164555530405;-0.00317164555530405
"Urea";0.00147961852826767;0.00147961852826767;0.00147961852826767;0.00147961852826767;0.00147961852826767;0.00147961852826767;0.00147961852826767;0.00147961852826767;0.00147961852826767;0.00147961852826767;0.00147961852826767;0.00147961852826767;0.00147961852826767;0.00147961852826767;0.00147961852826767;0.00147961852826767;0.00147961852826767;0.00147961852826767;0.00147961852826767;0.00147961852826767;0.00147961852826767
"Uridine 5'-monophosphate";0.00119827556296117;0.00119827556296117;0.00119827556296117;0.00119827556296117;0.00119827556296117;0.00119827556296117;0.00119827556296117;0.00119827556296117;0.00119827556296117;0.00119827556296117;0.00119827556296117;0.00119827556296117;0.00119827556296117;0.00119827556296117;0.00119827556296117;0.00119827556296117;0.00119827556296117;0.00119827556296117;0.00119827556296117;0.00119827556296117;0.00119827556296117
"L-Lactate";0.0179027305367409;0.0179027305367409;0.0179027305367409;0.0179027305367409;0.0179027305367409;0.0179027305367409;0.0179027305367409;0.0179027305367409;0.0179027305367409;0.0179027305367409;0.0179027305367409;0.0179027305367409;0.0179027305367409;0.0179027305367409;0.0179027305367409;0.0179027305367409;0.0179027305367409;0.0179027305367409;0.0179027305367409;0.0179027305367409;0.0179027305367409
"Pyruvate ";0.0116631434025125;0.0116631434025125;0.0116631434025125;0.0116631434025125;0.0116631434025125;0.0116631434025125;0.0116631434025125;0.0116631434025125;0.0116631434025125;0.0116631434025125;0.0116631434025125;0.0116631434025125;0.0116631434025125;0.0116631434025125;0.0116631434025125;0.0116631434025125;0.0116631434025125;0.0116631434025125;0.0116631434025125;0.0116631434025125;0.0116631434025125
"glycerol";0.00155195299841917;0.00155195299841917;0.00155195299841917;0.00155195299841917;0.00155195299841917;0.00155195299841917;0.00155195299841917;0.00155195299841917;0.00155195299841917;0.00155195299841917;0.00155195299841917;0.00155195299841917;0.00155195299841917;0.00155195299841917;0.00155195299841917;0.00155195299841917;0.00155195299841917;0.00155195299841917;0.00155195299841917;0.00155195299841917;0.00155195299841917
"D-Glycerate";0.000856923746953457;0.000856923746953457;0.000856923746953457;0.000856923746953457;0.000856923746953457;0.000856923746953457;0.000856923746953457;0.000856923746953457;0.000856923746953457;0.000856923746953457;0.000856923746953457;0.000856923746953457;0.000856923746953457;0.000856923746953457;0.000856923746953457;0.000856923746953457;0.000856923746953457;0.000856923746953457;0.000856923746953457;0.000856923746953457;0.000856923746953457
"Citrate ";0.00866730602899424;0.00866730602899424;0.00866730602899424;0.00866730602899424;0.00866730602899424;0.00866730602899424;0.00866730602899424;0.00866730602899424;0.00866730602899424;0.00866730602899424;0.00866730602899424;0.00866730602899424;0.00866730602899424;0.00866730602899424;0.00866730602899424;0.00866730602899424;0.00866730602899424;0.00866730602899424;0.00866730602899424;0.00866730602899424;0.00866730602899424
"cis-Aconitate";0.0198824305900676;0.0198824305900676;0.0198824305900676;0.0198824305900676;0.0198824305900676;0.0198824305900676;0.0198824305900676;0.0198824305900676;0.0198824305900676;0.0198824305900676;0.0198824305900676;0.0198824305900676;0.0198824305900676;0.0198824305900676;0.0198824305900676;0.0198824305900676;0.0198824305900676;0.0198824305900676;0.0198824305900676;0.0198824305900676;0.0198824305900676
"Isocitrate ";0.00829637818032837;0.00829637818032837;0.00829637818032837;0.00829637818032837;0.00829637818032837;0.00829637818032837;0.00829637818032837;0.00829637818032837;0.00829637818032837;0.00829637818032837;0.00829637818032837;0.00829637818032837;0.00829637818032837;0.00829637818032837;0.00829637818032837;0.00829637818032837;0.00829637818032837;0.00829637818032837;0.00829637818032837;0.00829637818032837;0.00829637818032837
"2-Oxoglutarate";0.0056290223979841;0.0056290223979841;0.0056290223979841;0.0056290223979841;0.0056290223979841;0.0056290223979841;0.0056290223979841;0.0056290223979841;0.0056290223979841;0.0056290223979841;0.0056290223979841;0.0056290223979841;0.0056290223979841;0.0056290223979841;0.0056290223979841;0.0056290223979841;0.0056290223979841;0.0056290223979841;0.0056290223979841;0.0056290223979841;0.0056290223979841
"succinic acid";0.0111157189427672;0.0111157189427672;0.0111157189427672;0.0111157189427672;0.0111157189427672;0.0111157189427672;0.0111157189427672;0.0111157189427672;0.0111157189427672;0.0111157189427672;0.0111157189427672;0.0111157189427672;0.0111157189427672;0.0111157189427672;0.0111157189427672;0.0111157189427672;0.0111157189427672;0.0111157189427672;0.0111157189427672;0.0111157189427672;0.0111157189427672
"Fumarate ";0.00251746385982533;0.00251746385982533;0.00251746385982533;0.00251746385982533;0.00251746385982533;0.00251746385982533;0.00251746385982533;0.00251746385982533;0.00251746385982533;0.00251746385982533;0.00251746385982533;0.00251746385982533;0.00251746385982533;0.00251746385982533;0.00251746385982533;0.00251746385982533;0.00251746385982533;0.00251746385982533;0.00251746385982533;0.00251746385982533;0.00251746385982533
"L-Malate";0.000488622788293375;0.000488622788293375;0.000488622788293375;0.000488622788293375;0.000488622788293375;0.000488622788293375;0.000488622788293375;0.000488622788293375;0.000488622788293375;0.000488622788293375;0.000488622788293375;0.000488622788293375;0.000488622788293375;0.000488622788293375;0.000488622788293375;0.000488622788293375;0.000488622788293375;0.000488622788293375;0.000488622788293375;0.000488622788293375;0.000488622788293375
"L-Serine";0.00296910570754066;0.00296910570754066;0.00296910570754066;0.00296910570754066;0.00296910570754066;0.00296910570754066;0.00296910570754066;0.00296910570754066;0.00296910570754066;0.00296910570754066;0.00296910570754066;0.00296910570754066;0.00296910570754066;0.00296910570754066;0.00296910570754066;0.00296910570754066;0.00296910570754066;0.00296910570754066;0.00296910570754066;0.00296910570754066;0.00296910570754066
